"assignment.id","worker.id","trial.num","rule.id","polarity","string","time","correct","seq.id"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","negative","ring",1494269249630,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","positive","35r6u",1494269248916,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","positive","psss7",1494269248382,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","positive","yr321a",1494269247914,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","negative","store",1494269246930,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","positive","12berba32",1494269246176,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","negative","past",1494269244318,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",1,"suffix-s","positive","breaks",1494269243030,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","positive","31708",1494269346351,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","positive","erqew",1494269348300,FALSE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","9076.2",1494269351356,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","238",1494269351916,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","-12541",1494269353920,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","236778",1494269355686,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","dskfjlmxF",1494269356390,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","positive","abcde",1494269358346,FALSE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","positive","56789",1494269370840,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",2,"zip-code","negative","nfas10583vns",1494269371632,TRUE,"ecba21d"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","[fbndofb]]",1494269430638,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","positive","[mna_8%234]",1494269431381,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","[[qoo_w3]",1494269432799,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","[]",1494269454574,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","[4939k4k3",1494269436650,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","[[223768]]",1494269437386,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","positive","(fdfm3t)",1494269453526,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","xyzsf",1494269438876,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","negative","xccg3]",1494269439562,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","positive","{0thg1!@}",1494269457602,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",3,"delimiters","positive","gnro[34r3]",1494269440912,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","bbb",1494269548208,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","a",1494269524490,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","alpaca",1494269524982,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","aaaa",1494269526622,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","b93kgw;_mfo",1494269527028,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","aaaaaaaaaaaaaa",1494269527598,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","positive","aaabc",1494269529332,FALSE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","DASASA",1494269540580,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","negative","AAAAA",1494269540240,TRUE,"0f5e5fa"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0",4,"3a","positive","AAA",1494269539361,FALSE,"0f5e5fa"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","b93kgw;_mfo",1494268074854,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","positive","aaaaaaaaaaaaaa",1494268075868,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","positive","bbb",1494268077404,FALSE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","aaabc",1494268078164,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","a",1494268078693,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","alpaca",1494268080015,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","DASASA",1494268081335,TRUE,"0e0608d"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8",1,"3a","negative","AAA",1494268082132,TRUE,"0e0608d"
