"id","worker.id","accept.time","submit.time","ip","enjoy","fair_pay","gender","age","programming.experience","bugs","regex.experience","education"
"304SM51WA34JE82IISBHMQNFJG7SB6","db12c41",2017-05-05 18:18:05,2017-05-05 18:28:32,"66.214.232.18","I enjoyed it very much, fun to do.","1.00","male","30","yes,  8 years","no issues were encountered in this hit.","I do not know what a regular expression is","college"
"30JNVC0OR9KHS5QRQGW8D1BCW5RQHV","6e119de",2017-05-05 18:48:08,2017-05-05 18:59:31,"107.145.113.42","Medium","1.50","Male","34","Very very basic HTML and some SQL","No","Not really, no.","some_college"
"30X31N5D63QEVYXQCEBLRF391YMSAB","6f2ca8f",2017-05-05 18:17:59,2017-05-05 18:32:43,"170.250.106.210","it was ok","$5","female","40","no","no","not sure","high_school"
"317HQ483I7SWL3OJG6MC9JHMR7LINV","032d129",2017-05-05 19:37:43,2017-05-05 19:56:22,"2601:142:0:851f:fccf:f74f:be51:d5b1","I found it interesting and quite enjoyable.","1.00","male","29","no","I had no issues and found it to be perfectly clear.","no","college"
"3180JW2OT4COQP2JUOBQR3W0D195J3","ec8b199",2017-05-05 18:18:06,2017-05-05 18:22:16,"76.106.156.16","it was boring","2.00","male","34","a little, not much","no","yes, not much","college"
"31T4R4OBOSGG5FAW8P912JX1FZ4C79","e3ff6fd",2017-05-19 12:39:03,2017-05-19 12:45:13,"2604:2000:7205:f600:ec21:9481:e390:92e0","It was interesting.","$1.00","male","46","very little","none","I don't know. None.","college"
"31UV0MXWNQCSVEIDC6QQF2H00MK5IR","76aae7a",2017-05-05 19:46:21,2017-05-05 20:01:08,"50.88.240.211","very, it was quite differen't from other boring hits. Very short and clear instructions. Thank you","1-2","Male","20","I think I took some basic tutorials online, but i don't remember anything. ","none","I don't ","high_school"
"326O153BMIYBJMVKVTIISZ70MMKEDX","8248135",2017-05-19 12:50:34,2017-05-19 12:57:19,"205.144.215.158","A little.  Coming up with sequences was moderately enjoyable.","$1.00","Male","33","Yes, a fair amount.","No issues","Yes, but limited experience and I always have to refresh myself about how to use them because I do not use them often at all.","doctoral"
"33PPO7FECVFNZRX6RC89DE5SEFRIDA","ba1c135",2017-05-19 12:52:56,2017-05-19 12:57:21,"38.132.120.11","I did! It was fun coming up with examples and thinking about how to communicate the rules through them",".75","Female","24","No","None","No","college"
"34J10VATJFYHO01BWYETDDCRWI6QIO","66584c1",2017-05-05 18:18:02,2017-05-05 18:31:50,"50.184.234.194","It seems interesting. I want to know what you are trying to study.","$1","female","23","none","None and no","I do not know","college"
"34Q075JO1XDI010E7TZ8684N3O7017","0ff79a1",2017-05-19 12:47:18,2017-05-19 12:52:04,"50.105.74.131","Greatly!",".40","Male","35","Some with Game Maker / GML","It was both fun and easy","Yes, and very little.","high_school"
"35USIKEBNRGGSJTIE5DNCGRHJSY6NM","b4faa31",2017-05-19 12:41:08,2017-05-19 12:47:59,"76.177.242.100","a little","1.00","male","29","no","no","no","college"
"374TNBHA8BV3E0GG0G0WZ16FNDDYQ0","bec14f7",2017-05-19 12:39:45,2017-05-19 12:46:21,"2602:306:c50d:1660:f8e0:7a6b:474e:92b1","it was different, yes",".50","female","54","no","I figured it out by the second try","no","college"
"37TD41K0AH92ODUOWS7CXATX117SCD","7db670e",2017-05-05 18:18:02,2017-05-05 18:24:28,"216.15.59.152","A  great deal","1.50","Male","24","N/A","It was fun, thanks!","No.","some_college"
"382M9COHEHFX0O66HO872ZBO7A7UEQ","ebda6ed",2017-05-05 19:58:52,2017-05-05 20:09:40,"2601:2c5:8580:2450:e17d:6cb7:3046:768","It was interesting and easy!","1.00","male","34","Yes, I work with 3DS Max and May Mel scripting and also proficient with PHP and JS","Yes the ones with the lowercase a's did not make sense, It felt like an attention check so I just use aaa as match and aaas as not matching.","It depends on the language. I use them every once in a while depending on the job. I am okay with creating expression in 3dsmax and after effects.","some_college"
"38F71OA9GTW6TU1T3X1RT7FU6PJFM1","ad9470d",2017-05-05 19:31:14,2017-05-05 19:36:07,"107.12.9.141","It was quick and easy.","1.00","male","31","no","no","no","high_school"
"39ASUFLU6X7PHS01MTJUM6AS1SMXEJ","49bb605",2017-05-05 18:32:21,2017-05-05 18:45:03,"2601:245:4001:7b26:f5b1:ee70:7348:a3df","It was OK","1.00","Female","39","no","No issues","no","college"
"39ASUFLU6X7PHS01MTJUM6AS24VXEH","b55dd44",2017-05-19 12:47:11,2017-05-19 12:55:44,"2601:803:8603:85f0:d850:81b6:c02f:12d3","I liked this one!","2.00","female","65","some basic experience from about 20 years ago working with vax system","No problems, it seems clear and easy to me","no, I don't know what that means","masters"
"39ASUFLU6X7PHS01MTJUM6AS24WEXZ","2237215",2017-05-19 12:39:33,2017-05-19 12:51:21,"162.40.208.75","it was interesting","$1 is fair","male","27","none","none","none","some_college"
"39LNWE0K4UW9GT8SD7YYNE9GZ3EUIZ","fe23a85",2017-05-05 19:33:49,2017-05-05 19:51:23,"167.160.113.38","it was fun actually","1.00","male","57","no","no","no","some_college"
"39U1BHVTDLRFQDBKSZ11ECLPYJI3TE","09bc2df",2017-05-19 12:37:18,2017-05-19 12:43:41,"199.168.78.30","quite a bit","$1","female","33","very little","No, it was fine, thanks.","No, none","some_college"
"3AUQQEL7U5TYMDGCE7JXDWB3RG4V0S","bb0e730",2017-05-05 18:18:02,2017-05-05 18:29:13,"2601:404:ce01:6c70:200d:a1fa:d063:d041","It was interesting","1.00","female","23","No","No","No","college"
