"assignment.id","worker.id","trial.num","rule.id","rule.desc","example.num","polarity","string","time"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","baaader","1485904138679"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"positive","goaaat","1485904150551"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"negative","shattered","1485904159845"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",2,"zip-code","The string is 5 digits in a row",1,"positive","13708","1485904178466"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",2,"zip-code","The string is 5 digits in a row",2,"positive","20012","1485904184703"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",3,"consonants-only","The string contains only consonants",1,"positive","bcccbtrf","1485904193236"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[cool]","1485904207316"
"31HQ4X3T3SAVRHOU950B0TJKSVHSLS","a802a5d",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","cool","1485904218085"
"31Q0U3WYDPFWIC0YSSKHLNEA7B071F","054fade",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","'a'x3","1485905941698"
"31Q0U3WYDPFWIC0YSSKHLNEA7B071F","054fade",2,"zip-code","The string is 5 digits in a row",1,"positive","0x5","1485905985765"
"31Q0U3WYDPFWIC0YSSKHLNEA7B071F","054fade",3,"consonants-only","The string contains only consonants",1,"negative","aeiou123456789","1485906017364"
"31Q0U3WYDPFWIC0YSSKHLNEA7B071F","054fade",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[]","1485906046275"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaaa","1485904798403"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"negative","123aab","1485904811013"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",1,"positive","13687","1485904841471"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",2,"negative","1368795","1485904854649"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",3,"positive","32156","1485904869440"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",4,"negative","145","1485904882876"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",5,"positive","11111","1485904892885"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",2,"zip-code","The string is 5 digits in a row",6,"negative","111111","1485904906282"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",3,"consonants-only","The string contains only consonants",1,"positive","dcrtfgh","1485904923775"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",3,"consonants-only","The string contains only consonants",2,"negative","dfard","1485904937407"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",3,"consonants-only","The string contains only consonants",3,"positive","ddddddddddddd","1485904951295"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",3,"consonants-only","The string contains only consonants",4,"negative","ded","1485904964003"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",3,"consonants-only","The string contains only consonants",5,"positive","xtr","1485904974201"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[ab452]","1485905003220"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","ab452","1485905022326"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","123rij","1485905044471"
"32KTQ2V7RDFXSKAG0B1ZJBTJ0CJ9M1","645c162",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"positive","[123rij]","1485905055896"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaaaaa","1485904023346"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"negative","AAAAAA","1485904031744"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"negative","aa","1485904036161"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",2,"zip-code","The string is 5 digits in a row",1,"positive","59763","1485904092330"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",2,"zip-code","The string is 5 digits in a row",2,"negative","321","1485904097600"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",2,"zip-code","The string is 5 digits in a row",3,"negative","32j45","1485904101435"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",2,"zip-code","The string is 5 digits in a row",4,"negative","mftol","1485904106897"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",3,"consonants-only","The string contains only consonants",1,"positive","rtgfh","1485904188403"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",3,"consonants-only","The string contains only consonants",2,"negative","asder","1485904195676"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",3,"consonants-only","The string contains only consonants",3,"negative","aeiou","1485904201023"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[625458]","1485904244638"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","{78779}","1485904257114"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","[564564","1485904371747"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","tfytry]","1485904375847"
"336YQZE83VEERX84XLOI7VOHEG05M6","4bf1c95",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",5,"negative","rtyrty5646","1485904381996"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"negative","a","1485904965755"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"negative","aa","1485904978571"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"positive","aaa","1485904983859"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",4,"positive","aaaa","1485904990420"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",5,"positive","aaaaa","1485904994107"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",6,"positive","aaaaaa","1485904998970"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",7,"positive","aaaaaaa","1485905005092"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",1,"3a","The string is three or more lowercase <code>a</code>'s",8,"positive","aaaaaaaaaa","1485905012122"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",1,"negative","1234","1485905028436"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",2,"negative","123","1485905045332"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",3,"positive","12345","1485905049988"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",4,"negative","3","1485905057205"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",5,"negative","321","1485905060549"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",6,"negative","4321","1485905065542"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",7,"positive","54321","1485905069686"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",8,"positive","25412","1485905074798"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",9,"negative","1542","1485905082623"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",10,"negative","1414","1485905090398"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",2,"zip-code","The string is 5 digits in a row",11,"positive","31244","1485905096086"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",1,"negative","aeiou","1485905114383"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",2,"negative","aeaeae","1485905116007"
